statement,label,city,country,correct_country,question,question_with_answer
The city of Gold Coast is in China.,0,Gold Coast,China,Australia,In which country is the city of Gold Coast located?,In which country is the city of Gold Coast located? China.
The city of Ouagadougou is in Burkina Faso.,1,Ouagadougou,Burkina Faso,Burkina Faso,In which country is the city of Ouagadougou located?,In which country is the city of Ouagadougou located? Burkina Faso.
The city of Ouagadougou is in China.,0,Ouagadougou,China,Burkina Faso,In which country is the city of Ouagadougou located?,In which country is the city of Ouagadougou located? China.
The city of Duque de Caxias is in Brazil.,1,Duque de Caxias,Brazil,Brazil,In which country is the city of Duque de Caxias located?,In which country is the city of Duque de Caxias located? Brazil.
The city of Duque de Caxias is in Côte d'Ivoire.,0,Duque de Caxias,Côte d'Ivoire,Brazil,In which country is the city of Duque de Caxias located?,In which country is the city of Duque de Caxias located? Côte d'Ivoire.
The city of Hiroshima is in Japan.,1,Hiroshima,Japan,Japan,In which country is the city of Hiroshima located?,In which country is the city of Hiroshima located? Japan.
The city of Hiroshima is in Malaysia.,0,Hiroshima,Malaysia,Japan,In which country is the city of Hiroshima located?,In which country is the city of Hiroshima located? Malaysia.
The city of Saitama is in Japan.,1,Saitama,Japan,Japan,In which country is the city of Saitama located?,In which country is the city of Saitama located? Japan.
The city of Saitama is in India.,0,Saitama,India,Japan,In which country is the city of Saitama located?,In which country is the city of Saitama located? India.
The city of Mandalay is in Myanmar.,1,Mandalay,Myanmar,Myanmar,In which country is the city of Mandalay located?,In which country is the city of Mandalay located? Myanmar.
The city of Mandalay is in Algeria.,0,Mandalay,Algeria,Myanmar,In which country is the city of Mandalay located?,In which country is the city of Mandalay located? Algeria.
The city of Nampula is in Mozambique.,1,Nampula,Mozambique,Mozambique,In which country is the city of Nampula located?,In which country is the city of Nampula located? Mozambique.
The city of Nampula is in India.,0,Nampula,India,Mozambique,In which country is the city of Nampula located?,In which country is the city of Nampula located? India.
The city of Mysore is in India.,1,Mysore,India,India,In which country is the city of Mysore located?,In which country is the city of Mysore located? India.
The city of Mysore is in Mexico.,0,Mysore,Mexico,India,In which country is the city of Mysore located?,In which country is the city of Mysore located? Mexico.
The city of Coimbatore is in India.,1,Coimbatore,India,India,In which country is the city of Coimbatore located?,In which country is the city of Coimbatore located? India.
The city of Coimbatore is in Malaysia.,0,Coimbatore,Malaysia,India,In which country is the city of Coimbatore located?,In which country is the city of Coimbatore located? Malaysia.
The city of Chandigarh is in India.,1,Chandigarh,India,India,In which country is the city of Chandigarh located?,In which country is the city of Chandigarh located? India.
The city of Chandigarh is in China.,0,Chandigarh,China,India,In which country is the city of Chandigarh located?,In which country is the city of Chandigarh located? China.
The city of Amritsar is in India.,1,Amritsar,India,India,In which country is the city of Amritsar located?,In which country is the city of Amritsar located? India.
The city of Amritsar is in Moldova.,0,Amritsar,Moldova,India,In which country is the city of Amritsar located?,In which country is the city of Amritsar located? Moldova.
The city of Arak is in Iran.,1,Arak,Iran,Iran,In which country is the city of Arak located?,In which country is the city of Arak located? Iran.
The city of Arak is in India.,0,Arak,India,Iran,In which country is the city of Arak located?,In which country is the city of Arak located? India.
The city of Ilorin is in Nigeria.,1,Ilorin,Nigeria,Nigeria,In which country is the city of Ilorin located?,In which country is the city of Ilorin located? Nigeria.
The city of Ilorin is in Ukraine.,0,Ilorin,Ukraine,Nigeria,In which country is the city of Ilorin located?,In which country is the city of Ilorin located? Ukraine.
The city of Omdurman is in Sudan.,1,Omdurman,Sudan,Sudan,In which country is the city of Omdurman located?,In which country is the city of Omdurman located? Sudan.
The city of Omdurman is in South Korea.,0,Omdurman,South Korea,Sudan,In which country is the city of Omdurman located?,In which country is the city of Omdurman located? South Korea.
The city of Khartoum is in Sudan.,1,Khartoum,Sudan,Sudan,In which country is the city of Khartoum located?,In which country is the city of Khartoum located? Sudan.
The city of Khartoum is in China.,0,Khartoum,China,Sudan,In which country is the city of Khartoum located?,In which country is the city of Khartoum located? China.
The city of Gujranwala is in Pakistan.,1,Gujranwala,Pakistan,Pakistan,In which country is the city of Gujranwala located?,In which country is the city of Gujranwala located? Pakistan.
The city of Gujranwala is in China.,0,Gujranwala,China,Pakistan,In which country is the city of Gujranwala located?,In which country is the city of Gujranwala located? China.
The city of Nizhniy Novgorod is in Russia.,1,Nizhniy Novgorod,Russia,Russia,In which country is the city of Nizhniy Novgorod located?,In which country is the city of Nizhniy Novgorod located? Russia.
The city of Nizhniy Novgorod is in China.,0,Nizhniy Novgorod,China,Russia,In which country is the city of Nizhniy Novgorod located?,In which country is the city of Nizhniy Novgorod located? China.
The city of Zhaoqing is in China.,1,Zhaoqing,China,China,In which country is the city of Zhaoqing located?,In which country is the city of Zhaoqing located? China.
The city of Zhaoqing is in Brazil.,0,Zhaoqing,Brazil,China,In which country is the city of Zhaoqing located?,In which country is the city of Zhaoqing located? Brazil.
The city of Xianning is in China.,1,Xianning,China,China,In which country is the city of Xianning located?,In which country is the city of Xianning located? China.
The city of Xianning is in Lebanon.,0,Xianning,Lebanon,China,In which country is the city of Xianning located?,In which country is the city of Xianning located? Lebanon.
The city of Suqian is in China.,1,Suqian,China,China,In which country is the city of Suqian located?,In which country is the city of Suqian located? China.
The city of Suqian is in Mexico.,0,Suqian,Mexico,China,In which country is the city of Suqian located?,In which country is the city of Suqian located? Mexico.
The city of Tonghua is in China.,1,Tonghua,China,China,In which country is the city of Tonghua located?,In which country is the city of Tonghua located? China.
The city of Tonghua is in Venezuela.,0,Tonghua,Venezuela,China,In which country is the city of Tonghua located?,In which country is the city of Tonghua located? Venezuela.
The city of Hezhou is in China.,1,Hezhou,China,China,In which country is the city of Hezhou located?,In which country is the city of Hezhou located? China.
The city of Hezhou is in India.,0,Hezhou,India,China,In which country is the city of Hezhou located?,In which country is the city of Hezhou located? India.
The city of Grosszschocher is in Germany.,1,Grosszschocher,Germany,Germany,In which country is the city of Grosszschocher located?,In which country is the city of Grosszschocher located? Germany.
The city of Grosszschocher is in China.,0,Grosszschocher,China,Germany,In which country is the city of Grosszschocher located?,In which country is the city of Grosszschocher located? China.
The city of San Pedro Sula is in Honduras.,1,San Pedro Sula,Honduras,Honduras,In which country is the city of San Pedro Sula located?,In which country is the city of San Pedro Sula located? Honduras.
The city of San Pedro Sula is in India.,0,San Pedro Sula,India,Honduras,In which country is the city of San Pedro Sula located?,In which country is the city of San Pedro Sula located? India.
The city of Queens is in the United States.,1,Queens,the United States,the United States,In which country is the city of Queens located?,In which country is the city of Queens located? the United States.
The city of Queens is in India.,0,Queens,India,the United States,In which country is the city of Queens located?,In which country is the city of Queens located? India.
The city of Caracas is in Venezuela.,1,Caracas,Venezuela,Venezuela,In which country is the city of Caracas located?,In which country is the city of Caracas located? Venezuela.
The city of Caracas is in Sudan.,0,Caracas,Sudan,Venezuela,In which country is the city of Caracas located?,In which country is the city of Caracas located? Sudan.
The city of Bien Hoa is in Vietnam.,1,Bien Hoa,Vietnam,Vietnam,In which country is the city of Bien Hoa located?,In which country is the city of Bien Hoa located? Vietnam.
